_id,m_w,province,gender,hisprice,openid,amount,paytype,d,act,type,date,payment,icon,payall,w,remarks,m,avatarUrl,nickname,city,language,y,text,_openid,country
,,,,,,,,,,out,2018-12-14,,canting,,,新,,,,,,,通讯,oFp7s0E3RqLxFuIqZltp3R5UGGSE,
00a6cea35dbc299a000f79ba3641046d,11_1,,,,,5.03,0,1,add,out,2019-11-01,,jichengche,,星期五,公交 地铁,11,,,,,2019,交通,oFp7s0NsX1rkr7Y_iJ9PJz2FCFVI,
00a6cea35dbd0e840051f884211c56fc,11_1,,,,,27,0,2,add,out,2019-11-02,,canting,,星期六,餐饮鸡蛋 菜,11,,,,,2019,餐饮,oFp7s0Mi08TqBr5svh--oJpAwxQ8,
00a6cea35dbd3f160067e63b722177f7,11_1,,,,,4,0,2,add,out,2019-11-02,,jichengche,,星期六,地铁,11,,,,,2019,交通,oFp7s0NsX1rkr7Y_iJ9PJz2FCFVI,
00a6cea35dbd65d5007b1df20c48fc87,11_1,,,,,7.5,0,2,add,out,2019-11-02,,canting,,星期六,早饭 ,11,,,,,2019,餐饮,oFp7s0JZbeXXrHiibtT8V00nEQlc,
00a6cea35dbda20b009d01d11c1a4857,11_1,,,,,2025,0,2,add,in,2019-11-02,,qian,,星期六,薪资10月宅急送,11,,,,,2019,薪资,oFp7s0D6aV9kiWebxxl324FvphB4,
00a6cea35dbda32b009d59911c87d0b5,11_1,,,,,723,0,2,add,in,2019-11-02,,qian,,星期六,薪资优速转件,11,,,,,2019,薪资,oFp7s0D6aV9kiWebxxl324FvphB4,
00a6cea35dbe083c00a9b47a5efc2929,11_1,,,,,800,0,3,add,out,2019-11-03,,jichengche,,星期日,交通机票,11,,,,,2019,交通,oFp7s0IYIxK4mEqRtFBvwV5rNSsE,
00a6cea35dbe592c00c825805caff927,11_1,,,,,3.3,0,3,add,out,2019-11-03,,canting,,星期日,水果,11,,,,,2019,餐饮,oFp7s0BxK0Wwve5tJhH4Llyc7R6g,
00a6cea35dbea64b00e9b55c603ff38c,11_1,,,,,9,0,3,add,out,2019-11-03,,canting,,星期日,餐饮,11,,,,,2019,餐饮,oFp7s0P8kXynVAsHx6v_PHNPcHrY,
00a6cea35dbeb97600f37b837c0fe6ca,11_1,,,,,17,0,3,add,out,2019-11-03,,canting,,星期日,炸串,11,,,,,2019,餐饮,oFp7s0JZbeXXrHiibtT8V00nEQlc,
00a6cea35dbec21a00f888712f4ee1fd,11_1,,,,,16,0,3,add,out,2019-11-03,,xuexi,,星期日,学习文具夹,11,,,,,2019,学习,oFp7s0Mi08TqBr5svh--oJpAwxQ8,
00a6cea35dc0029b0164a04429cf4c1c,11_2,,,,,20,0,4,add,out,2019-11-04,,canting,,星期一,餐饮,11,,,,,2019,餐饮,oFp7s0IWxLbsC1zrfdIBsQeBQDDY,
00a6cea35dc037060188322c5d10fd7d,11_2,Shanghai,1,,oFp7s0F3uC3dVyzQ13pNd-ZjKQRQ,54.5,0,4,add,out,2019-11-04,,qita,,星期一,其他,11,https://wx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTIzSeoGepp5mB13ngI677Aic2Erc6eELFN1FvXzI7zSFpxpfPyXic3iaZFCmEcPZEqSpIsicbT1B38C5g/132,上海如凯物流--李冬飞,Shanghai_Jinshan,zh_CN,2019,其他,oFp7s0F3uC3dVyzQ13pNd-ZjKQRQ,China
00a6cea35dc1014301c258485630bd5e,11_2,,,,,41,0,5,add,out,2019-11-05,,canting,,星期二,餐饮,11,,,,,2019,餐饮,oFp7s0Mi08TqBr5svh--oJpAwxQ8,
00a6cea35dc1018d01c27d81033ed14f,11_2,,,,,41,0,5,add,out,2019-11-05,,canting,,星期二,餐饮,11,,,,,2019,餐饮,oFp7s0Mi08TqBr5svh--oJpAwxQ8,
00a6cea35dc2390e023dba8b16e7b79f,11_2,Shanghai,1,,oFp7s0F3uC3dVyzQ13pNd-ZjKQRQ,19,0,6,add,out,2019-11-06,,qita,,星期三,其他,11,https://wx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTIzSeoGepp5mB13ngI677Aic2Erc6eELFN1FvXzI7zSFpxpfPyXic3iaZFCmEcPZEqSpIsicbT1B38C5g/132,上海如凯物流--李冬飞,Shanghai_Jinshan,zh_CN,2019,其他,oFp7s0F3uC3dVyzQ13pNd-ZjKQRQ,China
00a6cea35dc574890398edea2a21bfdc,11_2,,,,,1,0,8,add,in,2019-11-08,,qian,,星期五,薪资,11,,,,,2019,薪资,oFp7s0P1WEkcJH5I4HsVrEW--Iok,
00a6cea35dcb40c005ea95b9031da472,11_3,,,,,350,0,13,add,out,2019-11-13,,weibiaoti2fuzhi12,,星期三,眼霜,11,,,,,2019,彩妆,oFp7s0PDdBMmRRUx_i805afXn7po,
036443fc5cb444ee0003a66903c0fa30,04_3,,,,,200,0,15,add,out,2019-04-15,,gaoxiaofei,,星期一,礼金,4,,,,,2019,礼金,oFp7s0FlctHzwfu86xnk12jcg_HE,
036443fc5cb445290003cc434367ceed,04_2,,,,,20,0,14,add,out,2019-04-14,,canting,,星期日,餐饮,4,,,,,2019,餐饮,oFp7s0FlctHzwfu86xnk12jcg_HE,
